iter	Passed	Remaining
0	1	114
1	2	115
2	4	133
3	4	115
4	6	115
5	7	120
6	9	121
7	10	118
8	12	123
9	13	118
10	14	113
11	15	114
12	17	115
13	19	117
14	20	114
15	21	111
16	22	109
17	23	108
18	25	107
19	26	107
20	28	106
21	29	104
22	31	104
23	32	103
24	33	101
25	34	99
26	36	98
27	38	97
28	39	96
29	40	94
30	41	92
31	43	91
32	44	89
33	45	88
34	46	86
35	47	84
36	48	82
37	49	81
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	58	71
45	59	69
46	60	68
47	61	66
48	63	65
49	64	64
50	65	62
51	66	61
52	67	59
53	68	58
54	69	56
55	69	54
56	71	53
57	72	52
58	73	51
59	74	49
60	75	48
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	105	17
86	106	15
87	107	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	118	3
97	120	2
98	121	1
99	122	0
