iter	Passed	Remaining
0	146	146489
1	147	73783
2	149	49548
3	150	37465
4	152	30359
5	153	25481
6	154	21975
7	155	19318
8	157	17315
9	158	15663
10	159	14328
11	160	13215
12	161	12256
13	162	11465
14	164	10833
15	166	10237
16	167	9696
17	168	9203
18	169	8758
19	170	8363
20	171	8004
21	172	7677
22	173	7377
23	174	7103
24	175	6854
25	177	6660
26	179	6453
27	180	6253
28	181	6065
29	182	5904
30	183	5745
31	184	5589
32	185	5446
33	186	5310
34	187	5179
35	189	5061
36	190	4948
37	192	4865
38	193	4766
39	194	4667
40	195	4568
41	196	4481
42	197	4396
43	198	4315
44	199	4232
45	200	4155
46	201	4082
47	202	4015
48	203	3952
49	205	3906
50	206	3848
51	208	3793
52	209	3738
53	210	3686
54	211	3631
55	212	3579
56	213	3529
57	214	3480
58	215	3435
59	216	3390
60	217	3350
61	219	3318
62	220	3283
63	221	3245
64	223	3208
65	224	3171
66	225	3135
67	226	3098
68	227	3063
69	227	3028
70	228	2996
71	229	2963
72	231	2935
73	232	2909
74	234	2894
75	235	2868
76	237	2841
77	238	2814
78	239	2786
79	240	2760
80	240	2733
81	241	2708
82	242	2678
83	243	2653
84	244	2630
85	245	2609
86	247	2598
87	249	2583
88	250	2563
89	251	2543
90	252	2523
91	253	2502
92	254	2481
93	255	2462
94	256	2443
95	257	2425
96	258	2407
97	259	2391
98	262	2384
99	263	2372
100	264	2356
101	265	2339
102	266	2323
103	267	2307
104	268	2292
105	269	2276
106	270	2260
107	271	2245
108	273	2231
109	274	2218
110	275	2206
111	277	2199
112	278	2187
113	279	2175
114	280	2161
115	281	2148
116	282	2133
117	283	2119
118	284	2107
119	285	2094
120	286	2081
121	287	2067
122	288	2056
123	289	2046
124	291	2039
125	292	2031
126	293	2019
127	294	2007
128	295	1997
129	296	1986
130	297	1975
131	298	1965
132	299	1954
133	301	1945
134	302	1936
135	303	1927
136	305	1923
137	306	1916
138	307	1907
139	309	1899
140	310	1891
141	311	1880
142	312	1870
143	313	1862
144	314	1853
145	315	1844
146	316	1836
147	317	1829
148	319	1826
149	321	1824
150	323	1817
151	324	1809
152	325	1800
153	326	1792
154	327	1787
155	328	1779
156	329	1770
157	330	1762
158	331	1755
159	333	1752
160	335	1746
161	336	1741
162	337	1732
163	338	1724
164	339	1716
165	340	1709
166	341	1702
167	342	1693
168	342	1686
169	343	1678
170	345	1674
171	346	1668
172	347	1662
173	349	1661
174	351	1655
175	352	1649
176	353	1643
177	354	1636
178	355	1629
179	356	1622
180	358	1621
181	359	1615
182	360	1610
183	362	1605
184	363	1603
185	365	1598
186	366	1592
187	367	1585
188	368	1579
189	369	1575
190	370	1569
191	371	1562
192	372	1555
193	372	1549
194	373	1542
195	374	1537
196	377	1537
197	378	1533
198	379	1528
199	381	1524
200	382	1519
201	383	1513
202	384	1508
203	385	1502
204	386	1498
205	387	1493
206	388	1488
207	389	1483
208	390	1479
209	392	1474
210	393	1471
211	394	1467
212	395	1461
213	396	1455
214	397	1449
215	398	1444
216	399	1439
217	399	1434
218	400	1428
219	401	1423
220	402	1419
221	403	1414
222	404	1410
223	406	1408
224	407	1403
225	408	1398
226	409	1393
227	410	1388
228	410	1383
229	411	1378
230	412	1373
231	413	1368
232	414	1363
233	415	1358
234	416	1355
235	417	1351
236	418	1347
237	419	1344
238	421	1341
239	422	1337
240	423	1333
241	424	1329
242	425	1325
243	426	1321
244	427	1317
245	429	1315
246	430	1310
247	431	1307
248	432	1303
249	433	1299
250	435	1300
251	437	1297
252	438	1294
253	439	1289
254	440	1285
255	441	1282
256	442	1279
257	443	1274
258	444	1270
259	444	1266
260	445	1262
261	447	1260
262	448	1257
263	450	1256
264	452	1254
265	453	1250
266	454	1247
267	455	1243
268	456	1239
269	456	1235
270	458	1234
271	459	1230
272	460	1227
273	462	1224
274	463	1221
275	464	1219
276	465	1216
277	466	1212
278	467	1208
279	469	1206
280	470	1203
281	471	1199
282	472	1196
283	472	1192
284	473	1188
285	474	1185
286	476	1182
287	478	1182
288	479	1179
289	480	1176
290	482	1174
291	483	1172
292	484	1169
293	485	1166
294	486	1162
295	487	1159
296	488	1156
297	489	1153
298	490	1150
299	491	1147
300	493	1146
301	494	1143
302	495	1140
303	496	1137
304	497	1133
305	498	1130
306	499	1128
307	501	1126
308	502	1123
309	503	1120
310	504	1118
311	505	1115
312	507	1114
313	508	1111
314	509	1108
315	510	1105
316	511	1102
317	512	1099
